plant_id,common_name,plant_name,native_status,sun_shade,plot_type,area_reqd_(metres),bloom_season,milestone,points,hardiness,notes,rhs_link
57301,Borago,Borago officinalis,Non native,Full sun | part_shade,1,0.25,Summer,Seedling,10,H5,Easy to grow in any reasonably drained soil in sun or partial shade. Dislikes transplanting,https://www.rhs.org.uk/plants/57301/borago-officinalis/details
310926,Fairy Bouquet,Linaria maroccana,Non native,Full sun,1,0.25,Summer,Garden,20,H6,"Grow in moderately fertile, light, well-drained soil; sandy soil is ideal. Full sun essential",https://www.rhs.org.uk/plants/310926/linaria-maroccana-fairy-bouquet-group/details
237853,Sweet Scabious,Scabiosa purpurea,Non native,Full sun,2,0.5,Summer,Garden,20,H4,"Grow in a well-drained, neutral or slightly alkaline soil in full sun",https://www.rhs.org.uk/plants/237853/scabiosa-purpurea-ebony-and-ivory-mixed/details
95812,Princess Marina,Heliotropium arborescens,Non native,Full sun | part_shade,1,0.25,Summer,Habitat,35,H1C,Grow as summer bedding in any moist but well-drained soil in full sun or as a container plant under glass where it needs light but shade from direct sunlight,https://www.rhs.org.uk/plants/95812/heliotropium-arborescens-princess-marina/details
83138,Honesty,Lunaria annua var. albiflora,Non native,Full sun | part_shade,2,0.5,Summer | spring,Garden,20,H6,"Grow in fertile, moist but well-drained soil in full sun or partial shade",https://www.rhs.org.uk/plants/83138/lunaria-annua-var-albiflora-alba-variegata-v/details
23945,Fiddleneck,Phacelia tanacetifolia,Non native,Full sun,1,0.25,Summer | Autumn,Seedling,10,H4,"Grow in fertile, well-drained soil in full sun. Propagate by seed in situ in spring or early autumn; self seeds freely in a sunny position",https://www.rhs.org.uk/plants/23945/phacelia-tanacetifolia/details
56687,Common Poppy,Papaver rhoeas,Native,Full sun,2,0.5,Summer,Seedling,10,H7,Grow in any well-drained fertile soil in full sun,https://www.rhs.org.uk/plants/56687/papaver-rhoeas/details
370796,Cornflower,Centaurea cyanus,Non native,Full sun,2,0.5,Summer | spring,Seedling,10,H6,Grow in any well-drained fertile soil in full sun,https://www.rhs.org.uk/plants/370796/centaurea-cyanus-dwarf-blue-midget/details
121186,love-in-a-mist,Nigella damascena,Non native,Full sun,2,0.5,Summer,Seedling,10,H3,Grow in any well-drained fertile soil in full sun,https://www.rhs.org.uk/plants/121186/nigella-damascena/details
20720,poached egg flower,Limnanthes douglasii,Non native,Full sun,1,0.25,Summer | Autumn,Seedling,10,H5,Grow in any moist but well-drained soil in full sun. May be grown as green manure,https://www.rhs.org.uk/plants/20720/limnanthes-douglasii/details
85362,garden nasturtium,Tropaeolum majus,Non native,Full sun,4,6.25,Summer | Autumn,Garden,20,H3,"Best grown in poor, well-drained soil in full sun, if the soil is too rich foliage will be produced at the expense of flowers",https://www.rhs.org.uk/plants/85362/tropaeolum-majus/details
277035,Sunflower,Helianthus annuus,Non native,Full sun,3,0.75,Summer | spring,Garden,20,H4,"Grow in moderately fertile, neutral to alkaline, humus-rich, moist but well-drained soil in full sun",https://www.rhs.org.uk/plants/277035/helianthus-annuus-choco-sun/details
110022,Italian aster 'Gründer',Aster amellus 'Gründer',Non native,Full sun,1,0.25,Summer | Autumn,Garden,20,H7,"Grow in moderately fertile, well-drained soil in an open sunny position; thrives in alkaline soil. A bushy perennial to 80cm tall with violet-blue, yellow-centred flowers from summer into autumn.",https://www.rhs.org.uk/plants/110022/aster-amellus-gr%C3%BCnder/details
86557,crocus 'Golden Yellow',Crocus × luteus 'Golden Yellow',Non native,Full sun,1,0.01,Spring,Seedling,10,H6,"Grow in gritty, poor to moderately fertile, well-drained soil in full sun. A strong-growing corm with large, bright orange-yellow flowers in spring.",https://www.rhs.org.uk/plants/86557/crocus-%C3%97-luteus-golden-yellow/details
104359,dusky cranesbill 'Rose Madder',Geranium phaeum 'Rose Madder',Non native,Full shade | Full sun | Partial shade,3,1.0,Spring | Summer,Garden,20,H7,"Grow in sun or shade in moist but well-drained soil; good in damp shade. Clump-forming perennial to 60cm with brownish-pink reflexed flowers, late spring to early summer.",https://www.rhs.org.uk/plants/104359/geranium-phaeum-rose-madder/details
194564,snowdrop 'Merlin',Galanthus × hybridus 'Merlin',Non native,Partial shade,1,0.01,Winter | Spring,Garden,20,H5,"Grow in humus-rich, moist but well-drained soil that does not dry out in summer. Robust hybrid snowdrop, around 20cm tall, flowering late winter to spring.",https://www.rhs.org.uk/plants/194564/galanthus-%C3%97-hybridus-merlin/details
78346,Balkan clary 'Ostfriesland',Salvia nemorosa 'Ostfriesland',Non native,Full sun,2,0.25,Summer | Autumn,Garden,20,H6,"Grow in light, moderately fertile, humus-rich, moist but well-drained soil in full sun; can tolerate light partial shade. Compact bushy perennial with deep violet-blue flower spikes, summer into autumn. Cut back spent spikes to prolong flowering.",https://www.rhs.org.uk/plants/78346/salvia-nemorosa-ostfriesland/details
258245,crocus 'Ruby Giant',Crocus 'Ruby Giant',Non native,Full sun,1,0.01,Spring,Seedling,10,H6,"Grow in a well-drained, sunny position; plant corms 5-6cm deep in late summer or early autumn. Reddish-purple flowers with a bright orange stigma. Suitable for naturalising in grass.",https://www.rhs.org.uk/plants/258245/crocus-ruby-giant/details
10291,purple toadflax,Linaria purpurea,Non native,Full sun,2,0.25,Summer | Autumn,Seedling,10,H6,"Grow in moderately fertile, light, well-drained soil; sandy soil is ideal, full sun essential. Vigorous perennial to 60-90cm with violet-purple flowers; often seeds freely.",https://www.rhs.org.uk/plants/10291/linaria-purpurea/details
52221,garden catmint,Nepeta × faassenii,Non native,Full sun | Partial shade,2,0.25,Summer | Autumn,Garden,20,H7,"Grow in any well-drained soil in full sun or partial shade; may need support. Bushy perennial with light violet-blue flowers, summer into early autumn. Trim after flowering to keep compact and encourage reflowering.",https://www.rhs.org.uk/plants/52221/nepeta-%C3%97-faassenii/details
356925,stonecrop 'Matrona',Hylotelephium 'Matrona',Non native,Full sun,2,0.25,Summer | Autumn,Garden,20,H7,"Grow in moderately fertile, well-drained, neutral to slightly alkaline soil in full sun. Drought-tolerant upright perennial to 60cm with dense clusters of starry pale pink flowers.",https://www.rhs.org.uk/plants/356925/hylotelephium-matrona/details
127487,cranesbill 'Berggarten',Geranium × cantabrigiense 'Berggarten',Non native,Full shade | Full sun | Partial shade,2,0.25,Summer,Seedling,10,H6,"Grow in sun or shade in well-drained soil; excellent ground-cover, low maintenance, no pruning required. Mat-forming evergreen perennial with aromatic foliage and warm pink flowers, early to midsummer.",https://www.rhs.org.uk/plants/127487/geranium-%C3%97-cantabrigiense-berggarten/details
331016,allium 'Eros',Allium 'Eros',Non native,Full sun,2,0.25,Summer,Garden,20,H6,"Grow in full sun and fertile, well-drained soil; best in containers where soil is heavy clay. Bulbous perennial to 35cm with pinkish-lilac star-shaped flowers in domed clusters, early summer.",https://www.rhs.org.uk/plants/331016/allium-eros/details
7024,hemp agrimony,Eupatorium cannabinum,Native,Full sun | Partial shade,4,2.25,Summer | Autumn,Seedling,10,H7,Grow in any moist soil in full sun or partial shade. Vigorous native perennial to 1.5m that can spread quickly; very attractive to butterflies and other pollinating insects. Late summer into early autumn flowering.,https://www.rhs.org.uk/plants/7024/eupatorium-cannabinum/details
5959,common teasel,Dipsacus fullonum,Native,Full sun | Partial shade,3,1.0,Summer | Autumn,Seedling,10,H7,"Grow in any moderately fertile soil, including heavy clay, in sun or partial shade. Tall native biennial to 2.5m with bristly flowerheads; seedheads attract goldfinches over winter. Propagates by seed sown in situ.",https://www.rhs.org.uk/plants/5959/dipsacus-fullonum/details
48388,red clover,Trifolium pratense,Native,Full sun,2,0.25,Summer | Autumn,Seedling,10,H7,"Prefers a sunny site and slightly acid, low-nitrogen soil; naturally occurs in grassland. Native perennial to 50cm with pinkish-red flowers, May to October; a great nectar source, especially for bees. Generally pest and disease-free.",https://www.rhs.org.uk/plants/48388/trifolium-pratense/details
