action_id,action,plot_type,milestone,points,notes,steps,url
1,Hang a small bee hotel,1,Seedling,15,"Provides nesting tubes for cavity-nesting solitary bees. Per Wildlife Trust guidance, place in a sunny, south-facing spot to keep bees warm.","1. Choose a wooden block with hollow stems or 2-10mm drilled holes. 2. Find a sunny, south-facing wall or fence. 3. Mount securely at least 1m off the ground. 4. Ensure no vegetation blocks the entrance. 5. Clean or replace tubes every couple of years.",https://www.bumblebeeconservation.org/news/a-brief-guide-to-solitary-bee-nest-boxes/
2,Tie hollow stem bundles,1,Garden,25,A low-cost cavity nest using bamboo or reed. Wildlife guidance recommends keeping them dry and replacing them periodically to prevent disease.,"1. Gather untreated bamboo canes or reed stems. 2. Cut them to at least 15cm lengths. 3. Bundle them tightly using string or wire. 4. Hang the bundle horizontally in a dry, sunny spot. 5. Replace every two years to avoid mold and mites.",https://www.wildlifetrusts.org/actions/how-make-bee-hotel
3,Leave a bare soil patch,2,Seedling,10,"Essential for ground-nesting solitary bees which make up the majority of UK species. Buglife advises leaving sunny, undisturbed soil patches.","1. Identify a sunny, well-drained spot in a border or lawn. 2. Clear away vegetation and weeds. 3. Avoid mulching or digging this area. 4. Leave the soil surface completely bare and undisturbed. 5. Watch for small volcano-like soil mounds in spring.",https://www.buglife.org.uk/blog/how-to-be-the-best-bee-hotel-manager/
4,Erect a bird box,2,Garden,20,Tree bumblebees frequently colonize old bird nests. Bumblebee Conservation Trust notes they prefer aerial sites and often take over tit boxes.,1. Obtain a standard wooden bird box with a small entrance hole. 2. Add a small handful of dry moss or pet hair inside. 3. Hang it high up on a wall or tree (at least 2m high). 4. Face it away from strong sunlight and prevailing winds. 5. Leave undisturbed if bees move in during spring.,https://www.bumblebeeconservation.org/news/introducing-the-tree-bumblebee/
5,Create a tussocky grass patch,2,Habitat,40,Leaving grass uncut to form tussocks provides ideal surface nesting sites for carder bumblebees. Suggested for long-term habitat.,"1. Choose a quiet corner of your lawn or border. 2. Stop mowing this specific area entirely. 3. Allow native grasses to grow long and fall over, forming dense clumps. 4. Leave dead grass thatch to build up underneath. 5. Only cut back very selectively every few years in late winter.",https://www.rhs.org.uk/science/conservation-biodiversity/wildlife/encourage-wildlife-to-your-garden
6,Construct a sand planter,2,Sanctuary,50,Creates a mini nesting habitat for ground-nesting bees where natural bare soil is lacking. Mixing builders sand with soil works well.,"1. Get a deep planter or sturdy container with drainage holes. 2. Fill it with a mix of sharp sand or builders sand and a little soil. 3. Firm the mix down well so tunnels won't collapse. 4. Place it in a sunny, south-facing spot. 5. Keep the surface mostly clear of dense planting.",https://www.buglife.org.uk/blog/how-to-be-the-best-bee-hotel-manager/
7,Leave dead stems standing,3,Seedling,15,Teasel and bramble stems provide overwintering and nesting spots for small cavity-nesting bees. RHS guidance stresses the importance of not tidying up too early.,"1. Identify perennials with hollow or pithy stems (e.g., teasel, fennel). 2. Do not cut them back in autumn. 3. Leave them standing straight up throughout the winter. 4. If you must tidy, cut them in late spring and stack them in a quiet corner.",https://www.rhs.org.uk/garden-inspiration/seasonal/winter-seedheads
8,Build a dug bee bank,3,Sanctuary,60,A major construction project creating prime habitat for ground-nesting aggregations. Buglife recommends digging a south-facing mound of sandy soil.,"1. Choose an open, south-facing area that receives full sun. 2. Excavate a trench or use existing soil/rubble to form a crescent-shaped mound. 3. Top the mound with a thick layer of sharp sand or sandy subsoil. 4. Compact the soil so the vertical face is firm. 5. Keep the front face clear of vegetation.",https://cdn.buglife.org.uk/2020/10/Top-Tips-For-Pollinators.pdf
9,Small log pile with drilled holes,3,Garden,30,Offers shelter and nesting cavities for various solitary bees. Drilling holes of varying sizes (2-10mm) supports different species.,"1. Source untreated hardwood logs or thick branches. 2. Stack them in a partially sunny, stable pile. 3. Use a drill to make holes 2-10mm wide and at least 10cm deep into the wood. 4. Angle the holes slightly upwards to keep rain out. 5. Leave the pile to naturally age and decay over time.",https://www.wildlifetrusts.org/actions/how-build-bug-mansion
10,Build a bumblebee nest box,3,Habitat,45,Simulates abandoned rodent holes for underground-nesting bumblebees. Bumblebee Conservation Trust guidance suggests sinking a box.,"1. Build or buy a sturdy wooden box with a small entrance pipe. 2. Dig a hole in a well-drained, shady bank or under a hedge. 3. Place a handful of dried moss or soft hay inside as bedding. 4. Sink the box into the hole, leaving the entrance pipe exposed above ground. 5. Cover with an upturned tile or slate to keep it dry.",https://www.bumblebeeconservation.org/news/a-brief-guide-to-solitary-bee-nest-boxes/
11,Maintain an open compost heap,4,Habitat,40,Generates warmth and provides loose material for nesting bumblebees. Common carder bees often utilize these structures.,"1. Start a compost heap directly on the ground in a quiet spot. 2. Avoid using fully sealed plastic bins; use wooden slats or leave it open. 3. Add a mix of green waste and dry, brown material. 4. Avoid turning the pile aggressively during spring and summer to protect nests. 5. Leave an access gap near the bottom.",https://www.rhs.org.uk/science/conservation-biodiversity/wildlife/encourage-wildlife-to-your-garden
12,Plant a native hedgerow base,4,Sanctuary,60,Establishes undisturbed banks beneath native hedges. RHS guidelines highlight hedgerows as crucial habitat providing leaf litter for overwintering queens.,1. Plant a mix of native hedge species like hawthorn and hazel. 2. Allow the base of the hedge to accumulate leaf litter and debris. 3. Avoid chemical weed killers and heavy strimming around the base. 4. Let grasses grow long at the edge to provide ground cover. 5. Leave the undisturbed bank for queen bumblebees to hibernate.,https://www.rhs.org.uk/science/conservation-biodiversity/wildlife/encourage-wildlife-to-your-garden
13,Install an observation bee house,1,Habitat,40,A specialized bee hotel with removable viewing trays. Wildlife Trust guidance notes these require dedicated autumn cleaning to remove parasites.,"1. Purchase or build an observation bee house with removable nesting trays. 2. Mount securely on a sunny, south-facing balcony wall. 3. Monitor nesting activity during spring and summer. 4. In autumn, carefully open the trays to extract and clean the cocoons. 5. Store cocoons safely over winter and scrub the trays to prevent mites.",https://www.buglife.org.uk/blog/how-to-be-the-best-bee-hotel-manager/
14,Pile cleared raspberry canes,4,Seedling,15,"Allotment prunings, especially pithy stems like raspberry or blackberry, provide natural nesting cavities. RHS advises leaving these in a quiet corner.","1. Prune your allotment soft fruit canes in late winter or early spring. 2. Instead of burning or shredding, gather the pithy stems. 3. Cut them to varying lengths if excessively long. 4. Stack them horizontally in a quiet, undisturbed corner of the allotment. 5. Leave the pile to naturally degrade over several years.",https://www.rhs.org.uk/garden-inspiration/seasonal/winter-seedheads
15,Create a dead hedge windbreak,4,Garden,30,Weaving woody allotment prunings between stakes creates a boundary that shelters nesting bumblebees and provides cavities. The Wildlife Trusts promote dead hedges as structural habitat.,"1. Drive two parallel rows of sturdy wooden stakes into the ground about 50cm apart. 2. Gather woody prunings, branches, and twigs from the allotment. 3. Lay the material horizontally between the stakes. 4. Press the material down periodically to make it compact and wind-proof. 5. Continually add new prunings to the top as the bottom layers decay.",https://www.wildlifetrusts.org/actions/how-make-dead-wood-habitat
16,Set up a shallow bee bath,1,Seedling,15,"Bees need drinking water, especially during hot weather. The RHS advises providing a shallow dish filled with pebbles so bees can land and drink safely without drowning.","1. Find a shallow dish or plant saucer. 2. Fill it with clean stones or glass pebbles. 3. Add fresh water so the tops of the stones remain dry. 4. Place it in a sunny, sheltered spot. 5. Clean the dish and top up the water regularly during dry spells.",https://www.rhs.org.uk/science/conservation-biodiversity/wildlife/encourage-wildlife-to-your-garden
